Start_date,End_date,Category,Start_location,Stop_location,Miles,Purpose,Hour,Month,Day_of_the_week,Weekday,Duration
2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,21,Jan,4,Fri,0 days 00:06:00
2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,Unknown,1,Jan,5,Sat,0 days 00:12:00
2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,20,Jan,5,Sat,0 days 00:13:00
2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,17,Jan,1,Tue,0 days 00:14:00
2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,14,Jan,2,Wed,0 days 01:07:00
2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,17,Jan,2,Wed,0 days 00:04:00
2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,17,Jan,2,Wed,0 days 00:05:00
2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,13,Jan,3,Thu,0 days 00:06:00
2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,8,Jan,6,Sun,0 days 00:20:00
2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,12,Jan,6,Sun,0 days 00:27:00
2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,15,Jan,6,Sun,0 days 00:43:00
2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,18,Jan,6,Sun,0 days 00:35:00
2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,19,Jan,6,Sun,0 days 00:20:00
2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,8,Jan,0,Mon,0 days 00:26:00
2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,11,Jan,0,Mon,0 days 00:07:00
2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,13,Jan,0,Mon,0 days 00:14:00
2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,14,Jan,0,Mon,0 days 00:13:00
2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,12,Jan,1,Tue,0 days 00:16:00
2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,12,Jan,1,Tue,0 days 00:16:00
